sample,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
Yahoo ES+NQ daily 2000-2026,touch_low,1096,1273,0.5501824817518248,0.3582089552238806,0.19197352652794425,0.14055869226822998,0.24186558636122366,0.0
Yahoo ES+NQ daily 2000-2026,low_by_gap,1096,1273,0.10127737226277372,0.04948939512961508,0.05178797713315864,0.025325503118738293,0.07890396642973237,0.0
Yahoo ES+NQ daily 2000-2026,travelled_to_low,1096,1273,0.4489051094890511,0.3087195600942655,0.1401855493947856,0.09439476231445879,0.1881251274103811,0.0
Yahoo ES+NQ daily 2000-2026,gap_atr,1096,1273,-0.0015783889977064073,-0.01896412355352383,0.017385734555817423,-0.00817251421929673,0.04585773239300488,0.172
Yahoo ES+NQ daily 2000-2026,gap_frac_Brange,1096,1273,0.004380924663392306,-0.0271853558114453,0.03156628047483761,-0.008025758164583017,0.07292861240340263,0.134
Yahoo ES+NQ daily 2000-2026,open_loc,1096,1273,0.47391191443290964,0.5965233571437791,-0.12261144271086949,-0.17491704176341588,-0.07156772171672642,0.0
Yahoo ES+NQ daily 2000-2026,open_below_Blow,1096,1273,0.10127737226277372,0.04948939512961508,0.05178797713315864,0.02237978928048577,0.07856119878493838,0.0
Yahoo ES+NQ daily 2000-2026,open_above_Bhigh,1096,1273,0.0812043795620438,0.06677140612725845,0.014432973434785348,-0.009892284843988158,0.038785531460440975,0.25
Yahoo ES+NQ daily 2000-2026,mfe_down_atr,1096,1273,0.548039462348605,0.4288187476518187,0.1192207146967863,0.07423177741131197,0.1687221683940141,0.0
Yahoo ES+NQ daily 2000-2026,mfe_up_atr,1096,1273,0.5306131999867391,0.45589382299045256,0.0747193769962865,0.03715261653645512,0.11412214825386241,0.0
Yahoo ES+NQ daily 2000-2026,ret_close_atr,1096,1273,0.03778705763372032,0.05109389726396882,-0.0133068396302485,-0.0789065724629118,0.05411445289937934,0.709
Yahoo ES+NQ daily 2000-2015 (DEV),touch_low,648,757,0.5771604938271605,0.39233817701453105,0.18482231681262945,0.1228474879508738,0.24649221798693963,0.0
Yahoo ES+NQ daily 2000-2015 (DEV),low_by_gap,648,757,0.08333333333333333,0.03830911492734478,0.045024218405988546,0.014077702550515308,0.07596158479277716,0.002
Yahoo ES+NQ daily 2000-2015 (DEV),travelled_to_low,648,757,0.49382716049382713,0.35402906208718626,0.13979809840664087,0.0782678203278838,0.20194914447882706,0.0
Yahoo ES+NQ daily 2000-2015 (DEV),gap_atr,648,757,-0.009783058620942565,-0.012926156543762272,0.003143097922819707,-0.024249362184233087,0.03043208504632414,0.828
Yahoo ES+NQ daily 2000-2015 (DEV),gap_frac_Brange,648,757,-0.011649617553156959,-0.02472962298018708,0.013080005427030122,-0.02938622512206142,0.05433378488437755,0.525
Yahoo ES+NQ daily 2000-2015 (DEV),open_loc,648,757,0.4568389798897768,0.5750560005496761,-0.11821702065989931,-0.17564619476438326,-0.06112969346621711,0.0
Yahoo ES+NQ daily 2000-2015 (DEV),open_below_Blow,648,757,0.08333333333333333,0.03830911492734478,0.045024218405988546,0.014817317807481334,0.07590988314633279,0.004
Yahoo ES+NQ daily 2000-2015 (DEV),open_above_Bhigh,648,757,0.05709876543209876,0.047556142668428,0.00954262276367076,-0.015797919692004996,0.03642932338359049,0.431
Yahoo ES+NQ daily 2000-2015 (DEV),mfe_down_atr,648,757,0.5454185709525723,0.4457512958672749,0.09966727508529738,0.042057428320361794,0.15669013247188832,0.0
Yahoo ES+NQ daily 2000-2015 (DEV),mfe_up_atr,648,757,0.49643394265065727,0.45139154866833076,0.04504239398232651,-0.004056459821307128,0.09301234827445229,0.071
Yahoo ES+NQ daily 2000-2015 (DEV),ret_close_atr,648,757,0.0001642286317577553,0.01266324315855154,-0.012499014526793783,-0.09071515319461264,0.07105312753979151,0.807
Yahoo ES+NQ daily 2016-2026 (VAL),touch_low,448,516,0.5111607142857143,0.3081395348837209,0.20302117940199338,0.12315300651740804,0.2770816772353504,0.0
Yahoo ES+NQ daily 2016-2026 (VAL),low_by_gap,448,516,0.12723214285714285,0.06589147286821706,0.06134066998892579,0.013711718082074668,0.11052516297717778,0.015
Yahoo ES+NQ daily 2016-2026 (VAL),travelled_to_low,448,516,0.38392857142857145,0.24224806201550386,0.1416805094130676,0.06770451647533779,0.21130941619526372,0.0
Yahoo ES+NQ daily 2016-2026 (VAL),gap_atr,448,516,0.010289079564474462,-0.02782214879846472,0.03811122836293918,-0.015910694979825373,0.09279363303291668,0.16
Yahoo ES+NQ daily 2016-2026 (VAL),gap_frac_Brange,448,516,0.02756795894090106,-0.030788049131721403,0.058356008072622464,-0.01900185076496975,0.1430564140808795,0.144
Yahoo ES+NQ daily 2016-2026 (VAL),open_loc,448,516,0.49860669475422664,0.6280171341626474,-0.12941043940842073,-0.22487554210993124,-0.039472620192439335,0.003
Yahoo ES+NQ daily 2016-2026 (VAL),open_below_Blow,448,516,0.12723214285714285,0.06589147286821706,0.06134066998892579,0.012938835486970068,0.10832803170637656,0.014
Yahoo ES+NQ daily 2016-2026 (VAL),open_above_Bhigh,448,516,0.11607142857142858,0.09496124031007752,0.021110188261351054,-0.02457953868935137,0.06889241482465855,0.371
Yahoo ES+NQ daily 2016-2026 (VAL),mfe_down_atr,448,516,0.5518303945464382,0.4039777805992988,0.14785261394713944,0.058110120088669455,0.23617605319426818,0.002
Yahoo ES+NQ daily 2016-2026 (VAL),mfe_up_atr,448,516,0.5800510543478575,0.4624989037304647,0.11755215061739283,0.05200615647983859,0.18354902024999592,0.0
Yahoo ES+NQ daily 2016-2026 (VAL),ret_close_atr,448,516,0.09220579244013045,0.10747375222094727,-0.015267959780816812,-0.13257956550234593,0.08944342812987299,0.772
Yahoo ES alone,touch_low,531,657,0.5386064030131826,0.3470319634703196,0.19157443954286302,0.13608418485257065,0.24613205619986722,0.0
Yahoo ES alone,low_by_gap,531,657,0.11487758945386065,0.0532724505327245,0.06160513892113614,0.02926603425256094,0.09464035283027594,0.0
Yahoo ES alone,travelled_to_low,531,657,0.423728813559322,0.2937595129375951,0.1299693006217269,0.07504117554387524,0.1853629630895627,0.0
Yahoo ES alone,gap_atr,531,657,-0.0114246030944553,-0.02388563523680521,0.01246103214234991,-0.021006183905309013,0.04715950950838556,0.489
Yahoo ES alone,gap_frac_Brange,531,657,-0.017662633021226656,-0.03441419523627861,0.016751562215051953,-0.03519232877904277,0.06703916125457643,0.53
Yahoo ES alone,open_loc,531,657,0.45880910069614345,0.5979271892194896,-0.13911808852334617,-0.1965594803830241,-0.0768297374545393,0.0
Yahoo ES alone,open_below_Blow,531,657,0.11487758945386065,0.0532724505327245,0.06160513892113614,0.029321054117587453,0.09382063034109701,0.0
Yahoo ES alone,open_above_Bhigh,531,657,0.08097928436911488,0.0745814307458143,0.006397853623300573,-0.023638678973627952,0.03635055443459056,0.687
Yahoo ES alone,mfe_down_atr,531,657,0.5508847560358768,0.42575679586618725,0.12512796016968958,0.07264363291275919,0.1827818451783209,0.0
Yahoo ES alone,mfe_up_atr,531,657,0.5342113207552978,0.4471899418543158,0.08702137890098194,0.04255900146647937,0.13146581583070868,0.0
Yahoo ES alone,ret_close_atr,531,657,0.04637874034859394,0.04297237469427343,0.003406365654320509,-0.0710685586888576,0.07866060738286215,0.936
Yahoo NQ alone,touch_low,565,616,0.5610619469026549,0.37012987012987014,0.19093207677278473,0.13526043589728717,0.24657173992919318,0.0
Yahoo NQ alone,low_by_gap,565,616,0.08849557522123894,0.045454545454545456,0.04304102976669348,0.014444928067093344,0.07189546663176768,0.002
Yahoo NQ alone,travelled_to_low,565,616,0.4725663716814159,0.3246753246753247,0.14789104700609124,0.09494866695026428,0.20373251127329295,0.0
Yahoo NQ alone,gap_atr,565,616,0.007675309560477063,-0.013715043722491578,0.021390353282968642,-0.005192634307847965,0.05002795165943245,0.125
Yahoo NQ alone,gap_frac_Brange,565,616,0.025097967372299676,-0.019475376100218864,0.04457334347251854,-0.0034101521183670376,0.09354351324358248,0.07
Yahoo NQ alone,open_loc,565,616,0.4881058862810916,0.5950260881928996,-0.10692020191180801,-0.16582826886451263,-0.047698180027083294,0.0
Yahoo NQ alone,open_below_Blow,565,616,0.08849557522123894,0.045454545454545456,0.04304102976669348,0.015005446990840188,0.0738468434963049,0.0
