sample,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
Yahoo ES+NQ daily 2000-2026,opens AT/ABOVE Fri low,touch_low,985,1210,0.49949238578680205,0.3247933884297521,0.17469899735704997,0.12357067554442834,0.2236608118180077,0.0
Yahoo ES+NQ daily 2000-2026,opens AT/ABOVE Fri low,mfe_down_atr,985,1210,0.5280177160029901,0.4224530566979434,0.10556465930504666,0.0571128816207557,0.1543633527521155,0.0
Yahoo ES+NQ daily 2000-2026,opens AT/ABOVE Fri low,mfe_up_atr,985,1210,0.521816009987482,0.44814458536477,0.07367142462271203,0.03533190028042022,0.11388733440965607,0.0
Yahoo ES+NQ daily 2000-2026,opens AT/ABOVE Fri low,ret_close_atr,985,1210,0.03907779403212912,0.047522087591216566,-0.008444293559087448,-0.07522413650624453,0.05758720896455341,0.822
Yahoo ES+NQ 2000-2015 (DEV),opens AT/ABOVE Fri low,touch_low,594,728,0.5387205387205387,0.36813186813186816,0.17058867058867055,0.10679882795834549,0.2364205681099565,0.0
Yahoo ES+NQ 2000-2015 (DEV),opens AT/ABOVE Fri low,mfe_down_atr,594,728,0.5242923074441235,0.43921634646344493,0.08507596098067854,0.032033261164832925,0.14043792167460495,0.001
Yahoo ES+NQ 2000-2015 (DEV),opens AT/ABOVE Fri low,mfe_up_atr,594,728,0.4975968609830763,0.44740044098331033,0.050196419999765984,0.0031652896326223702,0.10080689481664352,0.04
Yahoo ES+NQ 2000-2015 (DEV),opens AT/ABOVE Fri low,ret_close_atr,594,728,0.011474515947884657,0.012465705874473846,-0.000991189926589189,-0.08636996269761187,0.08283040925368476,0.972
Yahoo ES+NQ 2016-2026 (VAL),opens AT/ABOVE Fri low,touch_low,391,482,0.4398976982097187,0.25933609958506226,0.18056159862465643,0.10188048919091365,0.2557410757291985,0.0
Yahoo ES+NQ 2016-2026 (VAL),opens AT/ABOVE Fri low,mfe_down_atr,391,482,0.5336772880847465,0.39713422900233103,0.13654305908241543,0.04957453418367276,0.22973302612512894,0.001
Yahoo ES+NQ 2016-2026 (VAL),opens AT/ABOVE Fri low,mfe_up_atr,391,482,0.5586092951757606,0.4492685212770159,0.10934077389874475,0.042110781740511666,0.1770618017226674,0.0
Yahoo ES+NQ 2016-2026 (VAL),opens AT/ABOVE Fri low,ret_close_atr,391,482,0.08101218580205549,0.10047031557833007,-0.019458129776274577,-0.14287084354942295,0.09464193920198664,0.72
Dukascopy NAS100+US500 RTH,opens AT/ABOVE Fri low,touch_low,358,512,0.3016759776536313,0.21484375,0.0868322276536313,0.01796389417536294,0.16009129615151438,0.018
Dukascopy NAS100+US500 RTH,opens AT/ABOVE Fri low,mfe_down_atr,358,512,0.43694811014232243,0.3203773380502123,0.11657077209211014,0.04913389973798886,0.18913771898780743,0.001
Dukascopy NAS100+US500 RTH,opens AT/ABOVE Fri low,mfe_up_atr,358,512,0.4133751614044432,0.3719477014493898,0.04142745995505337,-0.011239374074573988,0.09597101045544512,0.128
Dukascopy NAS100+US500 RTH,opens AT/ABOVE Fri low,ret_close_atr,358,512,0.02967375990391908,0.08948830366463584,-0.05981454376071676,-0.15114135746307514,0.03247543842558477,0.186
