sample,bucket,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
Yahoo ES+NQ daily,1 gaps below Fri low,touch_low,111,63,1.0,1.0,0.0,0.0,0.0,2.0
Yahoo ES+NQ daily,1 gaps below Fri low,mfe_down_atr,111,63,0.7257099141542878,0.5510804310516465,0.17462948310264126,-0.0650385460513858,0.4037899662050911,0.147
Yahoo ES+NQ daily,1 gaps below Fri low,ret_close_atr,111,63,0.026333225629822356,0.11969532113746426,-0.0933620955076419,-0.3792137286797813,0.21329211792004243,0.522
Yahoo ES+NQ daily,1 gaps below Fri low,__frequency__,111,63,0.10127737226277372,0.04948939512961508,0.05178797713315864,,,
Yahoo ES+NQ daily,2 opens inside Fri range,touch_low,572,697,0.48951048951048953,0.3916786226685796,0.09783186684190992,0.03604331300710663,0.1630170069470986,0.002
Yahoo ES+NQ daily,2 opens inside Fri range,mfe_down_atr,572,697,0.5087017404749147,0.4441478566518598,0.06455388382305488,0.008683971681343218,0.1246182865070435,0.022
Yahoo ES+NQ daily,2 opens inside Fri range,ret_close_atr,572,697,0.0627657419808782,0.04407038691318151,0.018695355067696685,-0.06825407190513302,0.10089112958913612,0.684
Yahoo ES+NQ daily,2 opens inside Fri range,__frequency__,572,697,0.5218978102189781,0.5475255302435192,-0.025627720024541167,,,
Yahoo ES+NQ daily,3 opens near Fri low,touch_low,191,107,0.900523560209424,0.8130841121495327,0.08743944805989134,-0.010120762076207683,0.1978193722891316,0.092
Yahoo ES+NQ daily,3 opens near Fri low,mfe_down_atr,191,107,0.6189587349742977,0.5121855172085559,0.10677321776574178,-0.03288003128772413,0.25230803412755404,0.135
Yahoo ES+NQ daily,3 opens near Fri low,ret_close_atr,191,107,0.03232522148378735,0.014244852120421115,0.01808036936336624,-0.19586539595694877,0.2210386907175944,0.877
Yahoo ES+NQ daily,3 opens near Fri low,__frequency__,191,107,0.17427007299270073,0.0840534171249018,0.09021665586779892,,,
Yahoo ES+NQ daily,4 opens near Fri high,touch_low,133,321,0.21052631578947367,0.06230529595015576,0.1482210198393179,0.07104654314688251,0.23192867225258593,0.0
Yahoo ES+NQ daily,4 opens near Fri high,mfe_down_atr,133,321,0.5249903512738089,0.3285799635009717,0.1964103877728372,0.08901184956547119,0.30796272449418444,0.0
Yahoo ES+NQ daily,4 opens near Fri high,ret_close_atr,133,321,-0.043143403919259006,0.07809517005878,-0.121238573978039,-0.2807383278082769,0.02196196679308268,0.099
Yahoo ES+NQ daily,4 opens near Fri high,__frequency__,133,321,0.12135036496350365,0.25216025137470544,-0.13080988641120178,,,
Yahoo ES+NQ daily,5 opens above Fri range,touch_low,89,85,0.1348314606741573,0.15294117647058825,-0.018109715796430947,-0.1250278706800446,0.09084297823453581,0.728
Yahoo ES+NQ daily,5 opens above Fri range,mfe_down_atr,89,85,0.461519321480748,0.4861073399180931,-0.024588018437345094,-0.19893388072787366,0.14411165310647384,0.771
Yahoo ES+NQ daily,5 opens above Fri range,ret_close_atr,89,85,0.02419750703868449,0.002257853425071871,0.02193965361361262,-0.19040973864027597,0.24182868129909482,0.843
Yahoo ES+NQ daily,5 opens above Fri range,__frequency__,89,85,0.0812043795620438,0.06677140612725845,0.014432973434785348,,,
Dukascopy RTH,1 gaps below Fri low,touch_low,109,57,1.0,1.0,0.0,0.0,0.0,2.0
Dukascopy RTH,1 gaps below Fri low,mfe_down_atr,109,57,0.5772229939403315,0.3552420827601986,0.2219809111801329,0.037709238129353014,0.4034876085599166,0.02
Dukascopy RTH,1 gaps below Fri low,ret_close_atr,109,57,0.11832326913041312,0.2678162942923777,-0.14949302516196455,-0.44141929642910543,0.13649780031375658,0.291
Dukascopy RTH,1 gaps below Fri low,__frequency__,109,57,0.2334047109207709,0.10017574692442882,0.13322896399634207,,,
Dukascopy RTH,2 opens inside Fri range,touch_low,181,265,0.3701657458563536,0.2641509433962264,0.10601480246012718,0.0038916968320951827,0.21067587110601815,0.043
Dukascopy RTH,2 opens inside Fri range,mfe_down_atr,181,265,0.4513214403528582,0.307134884780315,0.14418655557254323,0.05858202037125203,0.22957428619769346,0.0
Dukascopy RTH,2 opens inside Fri range,ret_close_atr,181,265,0.030529303902695683,0.11302840739769807,-0.08249910349500239,-0.19155957216330133,0.03902220606443805,0.179
Dukascopy RTH,2 opens inside Fri range,__frequency__,181,265,0.3875802997858672,0.46572934973637964,-0.07814904995051242,,,
Dukascopy RTH,3 opens near Fri low,__frequency__,25,30,0.05353319057815846,0.05272407732864675,0.0008091132495117101,,,
Dukascopy RTH,4 opens near Fri high,touch_low,41,61,0.12195121951219512,0.06557377049180328,0.05637744902039184,-0.06780697162053094,0.19609834558823522,0.4
Dukascopy RTH,4 opens near Fri high,mfe_down_atr,41,61,0.3867661778728361,0.30044312755725966,0.08632305031557647,-0.09416140834025434,0.311958477656714,0.44
Dukascopy RTH,4 opens near Fri high,ret_close_atr,41,61,0.049343890140511354,0.051032342371063535,-0.0016884522305521815,-0.27672704100406154,0.244975981628119,0.892
Dukascopy RTH,4 opens near Fri high,__frequency__,41,61,0.08779443254817987,0.10720562390158173,-0.019411191353401858,,,
Dukascopy RTH,5 opens above Fri range,touch_low,111,156,0.11711711711711711,0.04487179487179487,0.07224532224532224,-0.006295277292005861,0.15963796372334102,0.069
Dukascopy RTH,5 opens above Fri range,mfe_down_atr,111,156,0.42295592593525133,0.3223046452090151,0.10065128072623625,-0.03243860511866905,0.23298525903699202,0.122
Dukascopy RTH,5 opens above Fri range,ret_close_atr,111,156,0.019994839658144196,0.08645812122665938,-0.06646328156851519,-0.2541339801242421,0.11193918829220213,0.414
Dukascopy RTH,5 opens above Fri range,__frequency__,111,156,0.23768736616702354,0.2741652021089631,-0.03647783594193957,,,
