sample,n,n_trig,trig_mean,opp_mean,beta_raw,raw_lo,raw_hi,p_raw,beta_ctrl,ctrl_lo,ctrl_hi,p_ctrl,pct_uplift
Dukascopy NAS100+US500 RTH,1036,467,0.9390272170340755,0.7194884635705945,0.21940809758746288,0.14212470874517852,0.2966120075346217,0.0,0.17617799500305417,0.10491652741645958,0.24372423806640642,0.0,24.486562873953297
"Dukascopy NAS100+US500 RTH, tradeable",870,358,0.8503232715467655,0.6923250394996021,0.1575224553554489,0.08671830994441662,0.22509877218430221,0.0,0.1344241925223445,0.06647206732369962,0.2050208033989657,0.0013333333333333333,19.416341292451804
Dukascopy NAS100+US500 BROKER,1076,475,1.104589941861998,0.814396911174772,0.29009138346007984,0.20893240563223364,0.37420074015081545,0.0,0.22970746521830623,0.15814387651371536,0.2993990951473778,0.0,28.205836990092703
"Dukascopy NAS100+US500 BROKER, tradeable",959,404,1.0377078030664761,0.7920657286623495,0.24528742340111517,0.1682121350107415,0.32480464388679176,0.0,0.20836819774230783,0.13618764844424083,0.2865151834918894,0.0,26.3069326448706
Yahoo ES+NQ daily 2000-2026,2369,1096,1.0786526623353443,0.8847125706422715,0.1937098600526415,0.1486095628763024,0.24154721114358305,0.0,0.16040730509980985,0.11458493140992074,0.2066440966414222,0.0,18.131007789723114
Yahoo ES+NQ daily DEV 2000-2015,1405,648,1.0418525136032295,0.8971428445356058,0.1447660423937715,0.08707425546296367,0.20141283457863127,0.0,0.12073924871128076,0.06426334430446341,0.17899052322043832,0.0,13.458196701527486
Yahoo ES+NQ daily VAL 2016-2026,964,448,1.1318814488942956,0.8664766843297635,0.26521915886127406,0.17945543831972707,0.3502336926987342,0.0,0.21824327917512767,0.1400686250855969,0.29354156104539697,0.0,25.18743817601313
Yahoo ES alone,1188,531,1.0850960767911744,0.872946737720503,0.21214933907673458,0.1573356253700784,0.2694365056393885,0.0,0.17080996688874192,0.12023103177471171,0.222175799821564,0.0,19.56705483942495
Yahoo NQ alone,1181,565,1.0725969931742012,0.8972615190669497,0.17533547411586728,0.12696671295209028,0.22655305529359113,0.0,0.14957666381510865,0.10238954935267404,0.20169625192789664,0.0,16.67035313970128
"Yahoo ES+NQ, tradeable",2195,985,1.049833725990472,0.8705976420627135,0.17871818870722492,0.13002613170216532,0.22867413897887182,0.0,0.1533673747263517,0.11024732911497725,0.19841124952876343,0.0,17.6163324268806
