source,session_def,B_weekday,next_session,n,n_weeks,raw_rate,opp_rate,raw_uplift,beta_raw,beta_ctrl,OR_ctrl,ci_lo,ci_hi,p_cluster
Dukascopy NAS100+US500,RTH,Mon,Tue,1067,543,0.4956521739130435,0.4332784184514003,0.0623737554616432,0.25062412072604767,0.04856134911055451,1.0497597716731562,-0.2925917214868303,0.3969533472216184,0.78
Dukascopy NAS100+US500,RTH,Tue,Wed,1106,553,0.48812095032397407,0.3965785381026439,0.0915424122213302,0.3723109909119482,0.1627081595084958,1.176693232842175,-0.1682319310909559,0.481498291890725,0.3373333333333333
Dukascopy NAS100+US500,RTH,Wed,Thu,1102,551,0.5434782608695652,0.43613707165109034,0.10734118921847485,0.43259446966784015,0.18135275925988228,1.1988380059184978,-0.12890130171962202,0.4890741789997878,0.268
Dukascopy NAS100+US500,RTH,Thu,Fri,1098,538,0.49034749034749037,0.3724137931034483,0.11793369724404207,0.48668131831193495,0.23802634697778574,1.2687426199181802,-0.08745409674373798,0.5704280329131488,0.156
Dukascopy NAS100+US500,RTH,Fri,Mon,1085,543,0.4673469387755102,0.30756302521008405,0.15978391356542615,0.6806618603577533,0.3946947473427629,1.483931147852093,0.06407878187780662,0.7379996436478603,0.017333333333333333
Dukascopy NAS100+US500,BROKER,Mon,Tue,1100,550,0.532051282051282,0.39556962025316456,0.1364816617981175,0.5528078316384659,0.31632997066351154,1.3720829280517872,-0.03654616637358608,0.6583353756394357,0.084
Dukascopy NAS100+US500,BROKER,Tue,Wed,1108,554,0.47085201793721976,0.43051359516616317,0.04033842277105659,0.16179285713169617,-0.25005668698115185,0.7787566364573748,-0.6060668013763597,0.09527132778098048,0.156
Dukascopy NAS100+US500,BROKER,Wed,Thu,1106,553,0.5548654244306418,0.42857142857142855,0.12629399585921325,0.5073656514013971,0.03617186778554065,1.036834029547153,-0.29748389127006214,0.358612430855078,0.808
Dukascopy NAS100+US500,BROKER,Thu,Fri,1110,544,0.4989816700610998,0.3344103392568659,0.16457133080423386,0.6843357547202025,0.2902535276855262,1.3367663523473132,-0.060978341808144154,0.6215918564768086,0.116
Dukascopy NAS100+US500,BROKER,Fri,Mon,1092,546,0.5,0.2894736842105263,0.21052631578947367,0.897909003179102,0.5005218010113136,1.6495817996194588,0.1647475953623318,0.8469000053130584,0.0026666666666666666
Yahoo ES+NQ daily,YF_DAILY,Mon,Tue,2480,1241,0.5381818181818182,0.3898550724637681,0.1483267457180501,0.6008769028279479,0.2553990160273889,1.2909766384856562,0.028427067567555465,0.48219826902966884,0.025333333333333333
Yahoo ES+NQ daily,YF_DAILY,Tue,Wed,2681,1342,0.5198237885462555,0.42367399741267786,0.09614979113357769,0.3856817112272357,-0.08123994659909901,0.9219724407498727,-0.3081177704453071,0.13395673599330293,0.43733333333333335
Yahoo ES+NQ daily,YF_DAILY,Wed,Thu,2678,1340,0.5724020442930153,0.4175531914893617,0.15484885280365362,0.6248035590033382,0.14331094291952037,1.1540886015591303,-0.08025833922046367,0.35555757914759284,0.204
Yahoo ES+NQ daily,YF_DAILY,Thu,Fri,2642,1280,0.5367521367521367,0.36820652173913043,0.1685456150130063,0.6884871339357151,0.21987645654856844,1.2459227954763687,-5.110953557130228e-05,0.42238769460659903,0.050666666666666665
Yahoo ES+NQ daily,YF_DAILY,Fri,Mon,2601,1309,0.5543478260869565,0.36797153024911033,0.1863762958378462,0.7569864656193129,0.3566322685056481,1.4285104649678557,0.1332470853359127,0.5693361445660969,0.0026666666666666666
