scope,k,group,n,P_up,P_dn,P_both_observed,P_both_if_independent,excess,lift
RTH all,0.25,triggered,467,0.6316916488222698,0.5802997858672377,0.284796573875803,0.3665705285456855,-0.08177395466988252,0.7769216336231158
RTH all,0.25,opposite,569,0.5922671353251318,0.46221441124780316,0.1687170474516696,0.27375440525572875,-0.10503735780405915,0.6163080637700128
RTH all,0.5,triggered,467,0.37259100642398285,0.31905781584582443,0.05139186295503212,0.11887807271343351,-0.06748620975840139,0.43230733626475354
RTH all,0.5,opposite,569,0.29876977152899825,0.210896309314587,0.0210896309314587,0.0630094421502281,-0.04191981121876941,0.33470588235294113
RTH all,0.75,triggered,467,0.1734475374732334,0.19271948608137046,0.014989293361884369,0.03342672028392079,-0.01843742692203642,0.44842249657064465
RTH all,0.75,opposite,569,0.140597539543058,0.08260105448154657,0.0035149384885764497,0.011613505023767533,-0.008098566535191084,0.30265957446808506
RTH all,1.0,triggered,467,0.08993576017130621,0.1284796573875803,0.004282655246252677,0.011554915653701012,-0.0072722604074483355,0.37063492063492065
RTH all,1.0,opposite,569,0.054481546572934976,0.0492091388400703,0.0,0.0026809899895293135,-0.0026809899895293135,0.0
BROKER all,0.25,triggered,475,0.72,0.6231578947368421,0.3705263157894737,0.44867368421052634,-0.07814736842105263,0.8258258258258259
BROKER all,0.25,opposite,601,0.627287853577371,0.502495840266223,0.21797004991680533,0.3152095370721565,-0.09723948715535116,0.69150842306814
BROKER all,0.5,triggered,475,0.4442105263157895,0.38105263157894737,0.06315789473684211,0.16926759002770084,-0.10610969529085873,0.3731245581419706
BROKER all,0.5,opposite,601,0.3594009983361065,0.259567387687188,0.021630615640599003,0.09328877827027057,-0.07165816262967156,0.2318672839506173
BROKER all,0.75,triggered,475,0.25894736842105265,0.24421052631578946,0.023157894736842106,0.0632376731301939,-0.0400797783933518,0.3662040930754135
BROKER all,0.75,opposite,601,0.18801996672212978,0.12479201331114809,0.0066555740432612314,0.02346339018994964,-0.016807816146688408,0.28365781710914456
BROKER all,1.0,triggered,475,0.13263157894736843,0.16421052631578947,0.0,0.021779501385041554,-0.021779501385041554,0.0
BROKER all,1.0,opposite,601,0.07653910149750416,0.06988352745424292,0.0016638935108153079,0.005348822400823918,-0.00368492889000861,0.3110766045548654
