scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH all,up_atr,467,569,0.46933828818943407,0.3956185236777297,0.07371976451170437,0.016986563146959094,0.1369847319733742,0.011
RTH all,dn_atr,467,569,0.4696889288446414,0.3238699398928647,0.1458189889517767,0.08271706574848227,0.2174263308945621,0.0
RTH all,total_range_atr,467,569,0.9390272170340755,0.7194884635705945,0.21953875346348106,0.14140388536091486,0.2962543901112548,0.0
RTH all,larger_atr,467,569,0.7432421272689145,0.5670521070368114,0.17619002023210306,0.10729681461745562,0.24664766848981654,0.0
RTH all,smaller_atr,467,569,0.195785089765161,0.15243635653378304,0.04334873323137797,0.01915194244278909,0.06772468361526081,0.001
RTH all,ratio_small_large,467,569,0.34757332034463995,0.33933590641570915,0.008237413928930792,-0.031595317173339764,0.049483190477938456,0.69
RTH all,larger_side_up,467,569,0.5374732334047109,0.5641476274165202,-0.026674394011809377,-0.10384504405157238,0.045748992389325324,0.463
RTH all,high_before_low,467,569,0.4475374732334047,0.4305799648506151,0.016957508382789588,-0.059492370818187784,0.09535098464187565,0.659
RTH all,t_high,467,569,168.46038543897217,182.701230228471,-14.240844789498823,-36.086304029731004,7.619262931776701,0.216
RTH all,t_low,467,569,140.97858672376873,122.48154657293497,18.497040150833755,-2.733083894558779,39.801528211398896,0.087
RTH all,up_0.25,467,569,0.6316916488222698,0.5922671353251318,0.03942451349713805,-0.03710566536135197,0.11303581246559112,0.282
RTH all,dn_0.25,467,569,0.5802997858672377,0.46221441124780316,0.11808537461943458,0.04117667721168446,0.19195696261309186,0.002
RTH all,both_0.25,467,569,0.284796573875803,0.1687170474516696,0.11607952642413338,0.056646880177831295,0.17557395298442982,0.0
RTH all,one_only_0.25,467,569,0.6423982869379015,0.7170474516695958,-0.07464916473169436,-0.13829837956184013,-0.004443434846261736,0.037
RTH all,neither_0.25,467,569,0.0728051391862955,0.11423550087873462,-0.04143036169243912,-0.08179037796863403,-0.0017069806008440666,0.041
RTH all,up_0.5,467,569,0.37259100642398285,0.29876977152899825,0.0738212348949846,0.0038408604412528747,0.14404132219116159,0.04
RTH all,dn_0.5,467,569,0.31905781584582443,0.210896309314587,0.10816150653123743,0.04680130701274044,0.17672156174255466,0.001
RTH all,both_0.5,467,569,0.05139186295503212,0.0210896309314587,0.03030223202357342,0.0019089935925411879,0.060605225997720974,0.039
