scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH all,leg0.25_retr50,433,504,0.7066974595842956,0.7043650793650794,0.0023323802192162235,-0.06412582509017038,0.07184482981290555,0.981
RTH all,leg0.25_retr100,433,504,0.5173210161662818,0.501984126984127,0.015336889182154811,-0.05870081678260026,0.09420984970384277,0.69
RTH all,leg0.25_opp,433,504,0.3071593533487298,0.19047619047619047,0.11668316287253933,0.05100927183897593,0.18627624617098296,0.002
RTH all,leg0.25_t,433,504,41.378752886836025,65.96825396825396,-24.589501081417936,-35.4069759996116,-13.632112052467132,0.0
RTH all,leg0.25_t_retr100,224,253,110.22767857142857,152.52569169960475,-42.29801312817618,-65.11979782730698,-19.95120797364839,0.0
RTH all,leg0.25_t_opp,133,96,151.88721804511277,185.29166666666666,-33.40444862155388,-68.14856303705692,1.0385996677660612,0.059
RTH all,leg0.25_leg_ext_atr,433,504,0.6351705372035474,0.5412351937096999,0.09393534349384758,0.031975845705856126,0.16010300547318845,0.002
RTH all,leg0.25_post_move_atr,224,253,0.4448006347542405,0.271815623591238,0.17298501116300247,0.08854585119753207,0.2614279025605306,0.0
RTH all,leg0.5_retr50,299,278,0.43478260869565216,0.42805755395683454,0.006725054738817626,-0.08585086086770718,0.09931340173885543,0.897
RTH all,leg0.5_retr100,299,278,0.19063545150501673,0.2014388489208633,-0.010803397415846572,-0.08317429314208061,0.06132235670096567,0.762
RTH all,leg0.5_opp,299,278,0.0802675585284281,0.04316546762589928,0.03710209090252881,-0.007074420365319122,0.08496444134599707,0.112
RTH all,leg0.5_t,299,278,126.68896321070234,142.14028776978418,-15.45132455908184,-35.92041698968703,5.676753657734386,0.169
RTH all,leg0.5_t_retr100,57,56,187.01754385964912,233.44642857142858,-46.42888471177946,-90.61416854391999,-3.1472118644068106,0.037
RTH all,leg0.5_leg_ext_atr,299,278,0.9157334144304475,0.7936569900984718,0.12207642433197574,0.04459960469026904,0.19519697382809179,0.0
RTH all,leg0.5_post_move_atr,57,56,0.6359517298832212,0.30937946520741566,0.3265722646758056,0.0921487179792746,0.6045044196084153,0.005
RTH all,FULL SEQ leg0.25->open->opposite0.25,467,569,0.284796573875803,0.1687170474516696,0.11607952642413338,0.055158804365386796,0.18049583907891925,0.0
RTH all,FULL SEQ leg0.5->open->opposite0.5,467,569,0.05139186295503212,0.0210896309314587,0.03030223202357342,0.0025871899278125045,0.061570180959105394,0.027
BROKER all,leg0.25_retr50,462,548,0.7597402597402597,0.7043795620437956,0.05536069769646412,-0.005516913435175463,0.11748293493669466,0.075
BROKER all,leg0.25_retr100,462,548,0.5974025974025974,0.5291970802919708,0.06820551711062661,-0.0008005187874449343,0.1423689649341923,0.051
BROKER all,leg0.25_opp,462,548,0.38095238095238093,0.23905109489051096,0.14190128606186997,0.07503580827290975,0.21104988274167724,0.0
BROKER all,leg0.25_t,462,548,320.25108225108227,449.07481751824815,-128.8237352671659,-177.90343966357023,-80.78637405113713,0.0
BROKER all,leg0.25_t_retr100,276,290,619.9528985507246,726.1551724137931,-106.20227386306851,-171.09207413858243,-40.61085134035589,0.002
BROKER all,leg0.25_t_opp,176,131,763.375,860.6946564885496,-97.31965648854964,-175.5254390113758,-27.111980666140393,0.007
BROKER all,leg0.25_leg_ext_atr,462,548,0.6573545855111728,0.5827107343279291,0.07464385118324368,0.011785381181023586,0.13486807776830417,0.023
BROKER all,leg0.25_post_move_atr,276,290,0.5079620392470486,0.32345907527355217,0.18450296397349647,0.10327545759067595,0.2730199730128401,0.0
BROKER all,leg0.5_retr50,362,359,0.5331491712707183,0.4986072423398329,0.03454192893088537,-0.04701265677062949,0.12024919506753948,0.415
BROKER all,leg0.5_retr100,362,359,0.2983425414364641,0.20891364902506965,0.08942889241139446,0.01827466397955389,0.16035801033554267,0.013
BROKER all,leg0.5_opp,362,359,0.08287292817679558,0.036211699164345405,0.04666122901245017,0.008061094087363791,0.08870299492321757,0.022
BROKER all,leg0.5_t,362,359,658.8867403314918,784.0640668523677,-125.17732652087591,-184.21798665070386,-65.62461685702208,0.0
BROKER all,leg0.5_t_retr100,108,75,875.3055555555555,909.0666666666667,-33.76111111111118,-128.29412189391897,65.39212206931687,0.495
BROKER all,leg0.5_leg_ext_atr,362,359,0.9615117808518951,0.8282530139641997,0.13325876688769545,0.059602958482219005,0.21391913890791572,0.001
BROKER all,leg0.5_post_move_atr,108,75,0.46928441313582137,0.31614705993041975,0.15313735320540162,0.026054871770727465,0.27998046269704663,0.022
BROKER all,FULL SEQ leg0.25->open->opposite0.25,475,601,0.3705263157894737,0.21797004991680533,0.15255626587266838,0.08693757324321574,0.21523018050355833,0.0
BROKER all,FULL SEQ leg0.5->open->opposite0.5,475,601,0.06315789473684211,0.021630615640599003,0.041527279096243104,0.0136012719591729,0.07099496969137825,0.005
