control,dataset,asset_group,session_def,B_weekday,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,n,recon_accuracy,observed_uplift,shuffle_mean,shuffle_sd,shuffle_p,shuffle_q95,randtrig_mean,randtrig_sd
adjacent_weekday_down,Dukascopy_1m,COMMOD,RTH,Mon,1634.0,834.0,424.0,0.5083932853717026,0.47450343224379277,0.5422061729596853,0.4865361077111383,0.46375,0.04464328537170259,-0.0038228439777497347,0.09280827760880092,0.07478791172612616,0.08935102294245523,-0.019659956135668566,-0.18729843619227568,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,CRYPTO,RTH,Mon,483.0,227.0,104.0,0.4581497797356828,0.3945685556180855,0.5231238723492917,0.4472049689440994,0.4375,0.020649779735682827,-0.06763370226423115,0.10868429540710851,0.71387220430655,0.04152935032395355,-0.025363437940000726,-0.13133876297089597,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,FX,RTH,Mon,3324.0,1736.0,949.0,0.5466589861751152,0.5231639197200053,0.5699480125073182,0.5108303249097473,0.4716624685138539,0.07499651766126131,0.040985521417366305,0.10876633433184843,1.649247406402415e-05,0.15015939269799006,0.13457738214353548,1.8475374038112695,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,US_INDEX,RTH,Mon,1067.0,460.0,228.0,0.4956521739130435,0.4501875917699734,0.541188772019995,0.46016869728209936,0.4332784184514003,0.0623737554616432,0.002003539668011013,0.12224994403400655,0.04720384815239973,0.12514664771378858,0.0487186395737208,0.3497643438129784,,,,,,,,,
upside_symmetry,Dukascopy_1m,COMMOD,RTH,Mon,1634.0,946.0,541.0,0.5718816067653277,0.540122392754176,0.6030593969403434,0.5348837209302325,0.48401162790697677,0.08786997885835096,0.03885993780141308,0.136369128441077,0.0005245087588862254,0.17624528591130972,0.05641335703818491,0.5161795466136258,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,RTH,Mon,483.0,276.0,143.0,0.5181159420289855,0.4593234825705985,0.5764110366894921,0.4824016563146998,0.43478260869565216,0.08333333333333331,-0.006643556946021742,0.17119412389258254,0.08044179802914957,0.16704731205306267,0.17754977343858436,0.920269583216565,,,,,,,,,
upside_symmetry,Dukascopy_1m,FX,RTH,Mon,3324.0,1890.0,1033.0,0.5465608465608466,0.5240452002364997,0.5688876052949603,0.5228640192539109,0.4916317991631799,0.054929047397666686,0.020638453591266537,0.08906207773788583,0.0018055768936008562,0.10999399059152504,0.04103528082196133,0.5545524344913133,,,,,,,,,
upside_symmetry,Dukascopy_1m,US_INDEX,RTH,Mon,1067.0,670.0,413.0,0.6164179104477612,0.5790338688457743,0.6524745935053242,0.5838800374882849,0.5289672544080605,0.0874506560397007,0.02614470499215566,0.14840309598665885,0.00572074701726444,0.1770256664013914,-0.24777410584393744,-1.6013985881176074,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,COMMOD,RTH,Mon,1634.0,834.0,428.0,0.513189448441247,0.4792845839060615,0.5469733671279756,0.5348837209302325,0.5575,-0.044310551558752964,-0.09237029994831229,0.004055690776839586,0.07431638083120186,-0.0888730425508708,-0.06423607911514412,-0.6076580579880411,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,CRYPTO,RTH,Mon,483.0,227.0,104.0,0.4581497797356828,0.3945685556180855,0.5231238723492917,0.4824016563146998,0.50390625,-0.04575647026431717,-0.1336842575351078,0.04326262534078153,0.31761132028549843,-0.09161106031915422,-0.11263369688468489,-0.5997709146755533,,,,,,,,,
