dataset,instrument,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,median_frac_session_to_touch
Dukascopy_1m,AUDUSD,FX,RTH,2016-2026,Fri->Mon,552,293,120,0.40955631399317405,0.35477330148350994,0.466680210399362,0.41304347826086957,0.416988416988417,-0.00743210299524294,-0.08929695971160537,0.07426542676633203,0.8629610324161776,-0.015093145910874073,-0.2675867284871937,-1.4594718663321693,0.0
Dukascopy_1m,BTCUSD,CRYPTO,RTH,2016-2026,Fri->Mon,477,261,104,0.39846743295019155,0.340958541961664,0.45892173269018843,0.4276729559748428,0.46296296296296297,-0.06449553001277142,-0.1524608710718871,0.024469150651673405,0.16413469819077084,-0.13034528252660071,-0.4207624198633577,-2.1702046270630935,0.0
Dukascopy_1m,EURUSD,FX,RTH,2016-2026,Fri->Mon,552,278,120,0.4316546762589928,0.3747531271467122,0.4904192993692342,0.4221014492753623,0.4124087591240876,0.0192459171349052,-0.06279914157318767,0.10089412275663859,0.6671352736276246,0.038971184073951504,-0.16462672775389484,-0.9037869422410002,0.0
Dukascopy_1m,GBPUSD,FX,RTH,2016-2026,Fri->Mon,552,290,128,0.4413793103448276,0.3853656433674951,0.49892570157594507,0.4257246376811594,0.4083969465648855,0.03298236377994207,-0.049411768820798646,0.11452940870472822,0.4393997131279783,0.06673512713781116,-0.0719861652381177,-0.3904886705812242,0.0
Dukascopy_1m,NAS100,US_INDEX,RTH,2016-2026,Fri->Mon,527,240,113,0.4708333333333333,0.4086406930629839,0.5339449522669404,0.3757115749525617,0.2961672473867596,0.17466608594657373,0.09148809224691437,0.25508949108358453,4.630579032976913e-05,0.3615295504522573,0.4527886519100057,2.286873534001015,0.0
Dukascopy_1m,US500,US_INDEX,RTH,2016-2026,Fri->Mon,509,227,104,0.4581497797356828,0.3945685556180855,0.5231238723492917,0.3654223968565815,0.2907801418439716,0.16736963789171122,0.08295183995089497,0.24929939644796392,0.00014030618076134557,0.34792824662790367,0.38733976401886877,1.8899355868920986,0.0
Dukascopy_1m,USDCAD,FX,RTH,2016-2026,Fri->Mon,552,265,131,0.49433962264150944,0.43465610667854665,0.5541849001618423,0.46195652173913043,0.43205574912891986,0.06228387351258957,-0.02082432453899183,0.14427120582089104,0.14732427687845454,0.12498923142066554,0.0448022296697245,0.2488544787537095,0.0
Dukascopy_1m,USDCHF,FX,RTH,2016-2026,Fri->Mon,552,280,128,0.45714285714285713,0.3997665750473909,0.5156791808343775,0.4438405797101449,0.43014705882352944,0.02699579831932769,-0.055595056615689475,0.10902222148028778,0.5491695798614475,0.0543447873624614,-0.01014276402230241,-0.056619509927638347,0.0
Dukascopy_1m,USDJPY,FX,RTH,2016-2026,Fri->Mon,552,279,116,0.4157706093189964,0.35946574390777786,0.47436342598843806,0.41847826086956524,0.42124542124542125,-0.00547481192642485,-0.08722267453063522,0.07632559110633819,0.9313117318382168,-0.01109808021518588,-0.1829681755137176,-1.0172038549262301,0.0
Dukascopy_1m,WTIUSD,COMMOD,RTH,2016-2026,Fri->Mon,530,262,125,0.4770992366412214,0.41738785555911156,0.5374724583541755,0.4528301886792453,0.4291044776119403,0.047994759029281076,-0.03654605831394639,0.1316058299424981,0.29513315576506505,0.0964529509529497,0.050494183922990266,0.2764174007044308,0.0
