sessdef,construction,n_trades,trades_per_year,win_rate,loss_rate,mean_R,median_R,expectancy_R,MFE_R_median,MFE_R_mean,MAE_R_median,MAE_R_mean,hit_1R,hit_2R,hit_3R,cost_R_median,max_drawdown_R,meanR_control,n_control,meanR_DEV_2016_2020,n_DEV,meanR_VAL_2021_2026,n_VAL,positive_years,n_years,trig_ci_lo,trig_ci_hi,p_trig_vs_zero,diff,diff_ci_lo,diff_ci_hi,p_diff
RTH,"S1 structural stop (leg extreme), target 2R",223,10.136363636363637,0.12556053811659193,0.36771300448430494,-0.04509584915759261,-0.1840175150520106,-0.04509584915759261,0.9619818306740594,1.22556895739106,0.675819781391608,1.1405645041327208,0.47085201793721976,0.14349775784753363,0.06726457399103139,0.06344375512115161,16.8522505170716,-0.1751489770817716,247,-0.1322614409570593,102,0.028382583598982623,121,5,11,-0.20650758349455184,0.11335388788006022,0.6026666666666667,0.130053127924179,-0.08057036068885588,0.32451488439869536,0.22533333333333333
RTH,"S2a 0.5 ATR stop, target 1R",223,10.136363636363637,0.27802690582959644,0.2556053811659193,-0.048097721632492436,-0.10312194246602044,-0.048097721632492436,0.6911685687880226,0.8924118674691612,0.5389419645308307,0.770817511494648,0.30493273542600896,0.08071748878923767,0.03139013452914798,0.04620293243704019,13.816122826347083,-0.07459509130109358,247,-0.09191444738373046,102,-0.011161308189300058,121,3,11,-0.17045872129261194,0.071693516827016,0.42133333333333334,0.026497369668601146,-0.12351785642379007,0.1816370438817622,0.7773333333333333
RTH,"S2b 0.5 ATR stop, target 2R",223,10.136363636363637,0.06278026905829596,0.27802690582959644,-0.0617651685511359,-0.17522931498095728,-0.0617651685511359,0.6911685687880226,0.8924118674691612,0.5389419645308307,0.770817511494648,0.30493273542600896,0.08071748878923767,0.03139013452914798,0.04620293243704019,18.56946886439729,-0.10343688269246691,247,-0.14731478027851205,102,0.01035103307028866,121,3,11,-0.2055013405132543,0.07817058733831113,0.384,0.04167171414133101,-0.11730946918982371,0.21248178950315103,0.612
RTH,"S2c 0.5 ATR stop, target 3R",223,10.136363636363637,0.017937219730941704,0.2825112107623318,-0.0579587723047013,-0.18563256137144002,-0.0579587723047013,0.6911685687880226,0.8924118674691612,0.5389419645308307,0.770817511494648,0.30493273542600896,0.08071748878923767,0.03139013452914798,0.04620293243704019,20.68412922068482,-0.09052545169725734,247,-0.18268641890662324,102,0.04718354135972886,121,3,11,-0.20353611625643703,0.10421349952612403,0.4693333333333333,0.032566679392556044,-0.13983541206928743,0.21919331832187863,0.6893333333333334
RTH,"S3  0.5 ATR stop, target 2R, BE at +1R",223,10.136363636363637,0.06278026905829596,0.2600896860986547,-0.042490526958675015,-0.11078052794831222,-0.042490526958675015,0.6911685687880226,0.8924118674691612,0.5389419645308307,0.770817511494648,0.30493273542600896,0.08071748878923767,0.03139013452914798,0.04620293243704019,14.271223789278505,-0.09180401519126734,247,-0.10809909400400235,102,0.012815868401848856,121,3,11,-0.18351599655008677,0.09272032334302223,0.5186666666666667,0.04931348823259232,-0.1325816900920425,0.21970743222223707,0.552
BROKER,"S1 structural stop (leg extreme), target 2R",276,12.545454545454545,0.17391304347826086,0.35144927536231885,0.04105570760706016,-0.24961638468774427,0.04105570760706016,0.8679870818628235,1.3425559801841278,0.7360001219771806,1.244169961608892,0.4782608695652174,0.1956521739130435,0.11594202898550725,0.05390261282685989,16.902455425013905,-0.21558755857662573,290,0.11761412076763543,119,-0.01697264376942685,157,6,11,-0.10737524322566203,0.19836213973352196,0.652,0.2566432661836859,0.047743405325586255,0.4552736681793293,0.009333333333333334
BROKER,"S2a 0.5 ATR stop, target 1R",276,12.545454545454545,0.30434782608695654,0.286231884057971,-0.035902417058034916,-0.06443197223491853,-0.035902417058034916,0.7284076097383381,1.0159240784940973,0.6104664478458715,0.9240121511764744,0.34057971014492755,0.13043478260869565,0.05434782608695652,0.0410452741856466,24.487876597210285,-0.13155584135181547,290,0.030153874143264845,119,-0.08597056134437037,157,5,11,-0.14431236069730824,0.07384155860620706,0.512,0.09565342429378056,-0.04423784458240834,0.2384065710994762,0.18
BROKER,"S2b 0.5 ATR stop, target 2R",276,12.545454545454545,0.11594202898550725,0.31521739130434784,-0.00019748990187908104,-0.15543036338819444,-0.00019748990187908104,0.7284076097383381,1.0159240784940973,0.6104664478458715,0.9240121511764744,0.34057971014492755,0.13043478260869565,0.05434782608695652,0.0410452741856466,24.868627494095584,-0.13311065227089827,290,0.11267105144106025,119,-0.08574753079238724,157,5,11,-0.1511632427414233,0.14105211371357876,0.94,0.13291316236901918,-0.039500954974332946,0.3073355424401799,0.14533333333333334
BROKER,"S2c 0.5 ATR stop, target 3R",276,12.545454545454545,0.050724637681159424,0.31521739130434784,0.029369546854466383,-0.16064670411333465,0.029369546854466383,0.7284076097383381,1.0159240784940973,0.6104664478458715,0.9240121511764744,0.34057971014492755,0.13043478260869565,0.05434782608695652,0.0410452741856466,24.402598574853883,-0.14041381455645618,290,0.1409993074108742,119,-0.05524154554179178,157,5,11,-0.1446314800763392,0.19185554379776146,0.744,0.16978336141092257,-0.026801539397399366,0.35475224607081784,0.096
BROKER,"S3  0.5 ATR stop, target 2R, BE at +1R",276,12.545454545454545,0.11594202898550725,0.2898550724637681,0.03090334462896054,-0.10724479556946963,0.03090334462896054,0.7284076097383381,1.0159240784940973,0.6104664478458715,0.9240121511764744,0.34057971014492755,0.13043478260869565,0.05434782608695652,0.0410452741856466,23.37399015177649,-0.12793544758252803,290,0.14454123306596656,119,-0.05522983195705037,157,6,11,-0.11624667167317065,0.1746584126712522,0.7213333333333334,0.15883879221148858,-0.014856795587758636,0.34093690754013406,0.092
