sessdef,group,bucket,n,rate,med_shortfall_atr
RTH,US_INDEX,"(-0.00040400000000000006, 0.145]",94,0.43617021276595747,0.08184993961847778
RTH,US_INDEX,"(0.145, 0.314]",93,0.4838709677419355,0.23615704069109406
RTH,US_INDEX,"(0.314, 0.52]",93,0.41935483870967744,0.4086641826618884
RTH,US_INDEX,"(0.52, 0.884]",93,0.5053763440860215,0.6607328179371458
RTH,US_INDEX,"(0.884, 2.801]",94,0.4787234042553192,1.1211430424946012
RTH,FX,"(6.999999999999997e-05, 0.181]",337,0.41543026706231456,0.08611410118408341
RTH,FX,"(0.181, 0.383]",337,0.4332344213649852,0.28052988979183247
RTH,FX,"(0.383, 0.625]",337,0.41839762611275966,0.49888641425389435
RTH,FX,"(0.625, 1.006]",337,0.4807121661721068,0.7891496729511348
RTH,FX,"(1.006, 4.226]",337,0.456973293768546,1.3295251695822936
RTH,COMMOD,"(0.00017, 0.173]",154,0.4155844155844156,0.09770908355840383
RTH,COMMOD,"(0.173, 0.343]",153,0.5032679738562091,0.25181171378795963
RTH,COMMOD,"(0.343, 0.541]",153,0.4117647058823529,0.436063289879594
RTH,COMMOD,"(0.541, 0.918]",153,0.45098039215686275,0.6700869674028661
RTH,COMMOD,"(0.918, 2.911]",154,0.512987012987013,1.1958891515931414
BROKER,US_INDEX,"(0.00066, 0.118]",95,0.49473684210526314,0.049199142405024605
BROKER,US_INDEX,"(0.118, 0.236]",95,0.5052631578947369,0.16411229879099348
BROKER,US_INDEX,"(0.236, 0.421]",95,0.4842105263157895,0.3100707299918934
BROKER,US_INDEX,"(0.421, 0.824]",95,0.5473684210526316,0.5812860383133364
BROKER,US_INDEX,"(0.824, 2.168]",95,0.45263157894736844,1.0351843793857884
BROKER,FX,"(0.00022999999999999995, 0.106]",353,0.48158640226628896,0.045334390695221355
BROKER,FX,"(0.106, 0.234]",352,0.48579545454545453,0.16770840692334582
BROKER,FX,"(0.234, 0.417]",352,0.5426136363636364,0.3109712845320337
BROKER,FX,"(0.417, 0.698]",352,0.4715909090909091,0.5246690528786678
BROKER,FX,"(0.698, 2.829]",352,0.5028409090909091,0.9608180811465534
BROKER,COMMOD,"(-0.000767, 0.11]",160,0.49375,0.061534236690724387
BROKER,COMMOD,"(0.11, 0.233]",160,0.5,0.16399581456719553
BROKER,COMMOD,"(0.233, 0.373]",160,0.50625,0.29155605647719973
BROKER,COMMOD,"(0.373, 0.63]",160,0.45,0.48129707248092735
BROKER,COMMOD,"(0.63, 2.03]",160,0.525,0.8384431900415633
