sample,n_obs,n_weeks,n_trig,instruments,raw_rate,opposite_rate,raw_uplift,beta_raw,beta_ctrl,OR_ctrl,se_naive,z_naive,se_cluster,infl,ci_lo_cluster,ci_hi_cluster,p_cluster_2sided,uplift_ci_lo,uplift_ci_hi,beta_raw_ci_lo,beta_raw_ci_hi,n_boot
Dukascopy NAS100+US500 RTH 2016-2026,1036,528,467,2,0.46466809421841543,0.29349736379613356,0.17117073042228187,0.7365901252082521,0.41994973747546815,1.5218850599110578,0.14231748327026922,2.950795136518533,0.17693467985929853,1.2432392408407704,0.07109560564300711,0.7668474198304784,0.012,0.09820086319942141,0.2441501964665219,0.41875750734366335,1.0531405486187513,2000
Dukascopy NAS100+US500 BROKER 2016-2026,1076,538,475,2,0.4968421052631579,0.2911813643926789,0.20566074087047903,0.8770714538357206,0.4416869338828505,1.5553287434763508,0.14616355962680694,3.021867659836628,0.1784965491354732,1.2212110158730443,0.08690631059991914,0.7854714535668059,0.015,0.1358355531778033,0.2770048828879802,0.575003433852639,1.2023112849159359,2000
Dukascopy NAS100+US500 UTC 2016-2026,1076,538,487,2,0.48459958932238195,0.28522920203735147,0.19937038728503048,0.8566046873707768,0.4387771802880422,1.5508096979168795,0.14435104363583534,3.039653675071284,0.17577249284952895,1.2176738624277823,0.0956804261017078,0.7715697220642672,0.011,0.12550313287961842,0.27080471435375214,0.5342336155901753,1.1784672567680319,2000
Yahoo ES+NQ daily 2000-2026,2369,1194,1096,2,0.5501824817518248,0.3582089552238806,0.19197352652794425,0.7819643801532679,0.3598714720089623,1.4331452034485872,0.09828970258346914,3.6613344282261293,0.12485726405518094,1.2702985233793969,0.11839463233612818,0.5958474274077095,0.003,0.14438407055632163,0.2421934464933389,0.5845117749924924,0.9975797085641132,2000
NAS100 RTH alone 2016-2026,527,527,240,1,0.4708333333333333,0.2961672473867596,0.17466608594657373,0.748813222335687,0.4527886519100057,1.5726917659862998,0.1979946180573555,2.286873534001015,0.2034103086625713,1.0273527162422513,0.047553835300410255,0.855961656078467,0.028,0.0909894290647862,0.2543959969327174,0.39445061923827335,1.1031491499504569,2000
US500 RTH alone 2016-2026,509,509,227,1,0.4581497797356828,0.2907801418439716,0.16736963789171122,0.7238006009433711,0.38733976401886877,1.4730568979899064,0.20494865894124412,1.8899355868920986,0.20855129716741325,1.017578247375612,-0.026261965916265832,0.7891174555434537,0.062,0.08200468330341057,0.2510590094011667,0.35454439446298736,1.0937840493789217,2000
YF_ES daily alone 2000-2026,1188,1188,531,1,0.5386064030131826,0.3470319634703196,0.19157443954286302,0.7868433408617209,0.37722410338140683,1.458231067269131,0.1384318985715736,2.724979627339072,0.13960620489246392,1.008482917109478,0.12236337395919467,0.6436913522547676,0.005,0.14073213924089298,0.2468454920313325,0.5761266426469948,1.019624120260981,2000
YF_NQ daily alone 2000-2026,1181,1181,565,1,0.5610619469026549,0.37012987012987014,0.19093207677278473,0.7771312685222974,0.34133183875005546,1.406820000803988,0.13971431468773204,2.443069913866363,0.14318570047174162,1.0248463143649116,0.05394918112633756,0.6089479035598655,0.021,0.13155354549095058,0.2455999023018423,0.5330698137549176,1.0078596013240895,2000
DEV  Yahoo ES+NQ 2000-2015,1405,712,648,2,0.5771604938271605,0.39233817701453105,0.18482231681262945,0.7454241031599466,0.40709207385425483,1.5024424349593797,0.12930056612330085,3.148416793984122,0.16240774866049226,1.2560482411625364,0.10868754751492916,0.7314191241154556,0.009,0.1248979740258928,0.24919115854349538,0.4983312136721069,1.0161971475764975,2000
VAL  Yahoo ES+NQ 2016-2026,964,482,448,2,0.5111607142857143,0.3081395348837209,0.20302117940199338,0.8532885192878636,0.34429009685177,1.4109878992892102,0.1532853374464207,2.2460732551938505,0.19051628935835696,1.242886583493023,-0.022750454453667742,0.7235626224195769,0.071,0.1278769922205255,0.2774360573975264,0.5347242349247158,1.177538167627063,2000
