sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH,ALL Mondays,touch_Blow,467,569,0.46466809421841543,0.29349736379613356,0.17117073042228187,0.09591893807409442,0.2441986682683612,0.0
RTH,ALL Mondays,seq_low_first,467,569,0.41113490364025695,0.2671353251318102,0.14399957850844675,0.071115108523742,0.21836930051790363,0.0
RTH,ALL Mondays,Blow_by30,467,569,0.3233404710920771,0.18804920913884007,0.135291261953237,0.06642347554443359,0.20192322394693987,0.0
RTH,ALL Mondays,Blow_by60,467,569,0.3533190578158458,0.22144112478031636,0.13187793303552947,0.06003870159440909,0.20224816003203253,0.0
RTH,ALL Mondays,net30_atr,467,569,-0.030990255051047477,-0.03746185012751253,0.006471595076465057,-0.036343475073290894,0.04883056642065829,0.7426666666666667
RTH,ALL Mondays,net60_atr,467,569,-0.04132181201161051,-0.03872759389010793,-0.002594218121502581,-0.06484901111766976,0.05580833608061178,0.908
RTH,ALL Mondays,ret_close_atr,467,569,0.05036497297819714,0.10735244332330242,-0.056987470345105276,-0.15198480024628808,0.039213403764764954,0.21466666666666667
RTH,ALL Mondays,mfe_down_atr,467,569,0.4696889288446414,0.3238699398928647,0.1458189889517767,0.08184780269347779,0.21658012162195242,0.0
RTH,ALL Mondays,mfe_up_atr,467,569,0.46933828818943407,0.3956185236777297,0.07371976451170437,0.01801181680493798,0.13574845082683246,0.014666666666666666
RTH,ALL Mondays,first_move_dn,467,569,0.4411134903640257,0.36731107205623903,0.07380241830778667,0.002738718911565705,0.14671650997833918,0.04533333333333334
RTH,ALL Mondays,or15_dn,467,569,0.43897216274089934,0.4270650263620387,0.01190713637886065,-0.06792348216898363,0.083692566487747,0.756
RTH,ALL Mondays,or30_dn,467,569,0.4004282655246253,0.4182776801405975,-0.017849414615972226,-0.09073497223113695,0.054338584174774704,0.636
RTH,ALL Mondays,dir60_up,467,569,0.5910064239828694,0.5869947275922671,0.004011696390602282,-0.06675176301303933,0.07603856761868151,0.9026666666666666
RTH,ALL Mondays,pen_after_Blow_atr,217,167,0.7454830495769903,0.5184223752910055,0.22706067428598475,0.07409966995946465,0.39395959762866134,0.0
RTH,ALL Mondays,bounce_after_Blow_atr,217,167,0.24779920728407556,0.25920116093921186,-0.011401953655136299,-0.13255821087144679,0.10762719531592997,0.876
RTH,ALL Mondays,mae_before_Blow_atr,217,167,0.10313877699062496,0.11411477121257523,-0.010975994221950267,-0.04248025056440672,0.019487322243637153,0.512
RTH,opens AT/ABOVE Fri low (tradeable),touch_Blow,358,512,0.3016759776536313,0.21484375,0.0868322276536313,0.013649235169577872,0.161345137824335,0.017333333333333333
RTH,opens AT/ABOVE Fri low (tradeable),seq_low_first,358,512,0.23184357541899442,0.185546875,0.04629670041899442,-0.01661197427747145,0.117290517241292,0.16666666666666666
RTH,opens AT/ABOVE Fri low (tradeable),Blow_by30,358,512,0.11731843575418995,0.09765625,0.019662185754189945,-0.025696973846334115,0.06867491632381345,0.412
RTH,opens AT/ABOVE Fri low (tradeable),Blow_by60,358,512,0.1564245810055866,0.134765625,0.021658956005586594,-0.03331824201956118,0.07693898142176757,0.44266666666666665
RTH,opens AT/ABOVE Fri low (tradeable),net30_atr,358,512,-0.026141201630369995,-0.029531521125947723,0.0033903194955777274,-0.03837080639488449,0.0493158099691857,0.8973333333333333
RTH,opens AT/ABOVE Fri low (tradeable),net60_atr,358,512,-0.020543607077341947,-0.03010224092093692,0.009558633843594972,-0.050858849621163486,0.07018250754472619,0.7346666666666667
RTH,opens AT/ABOVE Fri low (tradeable),ret_close_atr,358,512,0.02967375990391908,0.08948830366463584,-0.05981454376071676,-0.14900771478572553,0.03800354872585521,0.21066666666666667
RTH,opens AT/ABOVE Fri low (tradeable),mfe_down_atr,358,512,0.43694811014232243,0.3203773380502123,0.11657077209211014,0.04891144100610771,0.18965380972110077,0.0
RTH,opens AT/ABOVE Fri low (tradeable),mfe_up_atr,358,512,0.4133751614044432,0.3719477014493898,0.04142745995505337,-0.009974687700070787,0.09422464206279191,0.14133333333333334
RTH,opens AT/ABOVE Fri low (tradeable),first_move_dn,358,512,0.41620111731843573,0.375,0.04120111731843573,-0.0359335788776023,0.12085116082645998,0.29333333333333333
RTH,opens AT/ABOVE Fri low (tradeable),or15_dn,358,512,0.441340782122905,0.43359375,0.0077470321229050065,-0.06522007956064504,0.09203883934213851,0.7933333333333333
RTH,opens AT/ABOVE Fri low (tradeable),or30_dn,358,512,0.40782122905027934,0.423828125,-0.016006895949720656,-0.096566438967116,0.061749332435042416,0.7266666666666667
RTH,opens AT/ABOVE Fri low (tradeable),dir60_up,358,512,0.611731843575419,0.580078125,0.03165371857541899,-0.05420949459521004,0.11264953136767564,0.4533333333333333
RTH,opens AT/ABOVE Fri low (tradeable),pen_after_Blow_atr,108,110,0.4277684519175867,0.34958737889857505,0.07818107301901167,-0.030421429310149357,0.19837007961399944,0.16533333333333333
RTH,opens AT/ABOVE Fri low (tradeable),bounce_after_Blow_atr,108,110,0.32623405361648805,0.3317273029430099,-0.005493249326521843,-0.08652180934688619,0.06793682778661107,0.9
RTH,opens AT/ABOVE Fri low (tradeable),mae_before_Blow_atr,108,110,0.15598095914563756,0.1412157892680097,0.014765169877627854,-0.03479560778323883,0.05819540460664159,0.496
RTH,opens INSIDE Fri range,touch_Blow,247,356,0.38461538461538464,0.2893258426966292,0.09528954191875544,0.005636272435546106,0.18550533120175255,0.04133333333333333
RTH,opens INSIDE Fri range,seq_low_first,247,356,0.3360323886639676,0.26685393258426965,0.06917845607969797,-0.021158782376434742,0.15627039368814225,0.12
RTH,opens INSIDE Fri range,Blow_by30,247,356,0.1700404858299595,0.1404494382022472,0.029591047627712308,-0.03376293256348091,0.0948135383527747,0.36933333333333335
