sessdef,measure,label,n_trig,n_opp,trig_mean,opp_mean,diff,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
RTH,gap_atr,weekend gap / ATR,467,569,0.025683508370984768,0.02851223600119425,-0.0028287276302094815,-0.09833435309281063,0.08707203752428244,0.9213333333333333,36.0,0.04390243902439025,False
RTH,open_to_Blow_atr,Mon open above Fri low / ATR,467,569,0.4399981230854678,0.5874241270087528,-0.14742600392328498,-0.25726137102316166,-0.037725484129000814,0.009333333333333334,15.0,0.018292682926829267,True
RTH,open_loc_in_Brange,Mon open location inside Fri range,467,569,0.5148288999204993,0.7002088332763282,-0.18537993335582892,-0.3144429345160754,-0.061638815176535584,0.0026666666666666666,10.0,0.012195121951219513,True
RTH,open_below_Brange,Mon opens BELOW Fri range,467,569,0.2334047109207709,0.10017574692442882,0.13322896399634207,0.07346805877416249,0.18856625998137155,0.0,1.0,0.0012195121951219512,True
RTH,open_above_Brange,Mon opens ABOVE Fri range,467,569,0.23768736616702354,0.2741652021089631,-0.03647783594193957,-0.10184102092222413,0.026540561701454198,0.28,26.0,0.03170731707317073,False
RTH,up5_atr,up-excursion first 5m,467,569,0.10891374545532703,0.09448692968451108,0.014426815770815948,0.001307026380855129,0.02831822839721313,0.03333333333333333,19.0,0.023170731707317076,False
RTH,dn5_atr,down-excursion first 5m,467,569,0.08777394156112368,0.07282979408183766,0.014944147479286018,0.003471980288245474,0.026423651560783433,0.010666666666666666,16.0,0.01951219512195122,True
RTH,up15_atr,up 15m,467,569,0.16244525498133808,0.146236469896613,0.016208785084725064,-0.003153015336726897,0.036454531680831855,0.112,21.0,0.025609756097560978,False
RTH,dn15_atr,down 15m,467,569,0.14433156315802395,0.11480288026288842,0.029528682895135536,0.009683385491773269,0.04850791719610566,0.005333333333333333,12.0,0.014634146341463417,True
RTH,up30_atr,up 30m,467,569,0.21740196468298115,0.18408099259438404,0.033320972088597106,0.007995490603405467,0.05994714124048758,0.017333333333333333,18.0,0.021951219512195124,True
RTH,dn30_atr,down 30m,467,569,0.18641170963193368,0.1466191424668715,0.03979256716506219,0.014282608587324554,0.06572248906949753,0.0,2.0,0.0024390243902439024,True
RTH,up60_atr,up 60m,467,569,0.2855093062161889,0.2288904915095463,0.05661881470664262,0.018438738346951297,0.09696867204238946,0.005333333333333333,13.0,0.015853658536585366,True
RTH,dn60_atr,down 60m,467,569,0.24418749420457844,0.19016289761943836,0.05402459658514008,0.01966029545680336,0.09051570701582717,0.0026666666666666666,11.0,0.013414634146341465,True
RTH,net5_atr,net (dn-up) 5m,467,569,-0.021139803894203352,-0.02165713560267342,0.0005173317084700667,-0.020156923751135848,0.02058716581519169,0.9386666666666666,39.0,0.047560975609756105,False
RTH,net15_atr,net 15m,467,569,-0.018113691823314137,-0.031433589633724585,0.013319897810410448,-0.021159775499819518,0.0479624328073881,0.47333333333333333,28.0,0.03414634146341464,False
RTH,net30_atr,net 30m,467,569,-0.030990255051047477,-0.03746185012751253,0.006471595076465057,-0.037016926025151456,0.050594761707210625,0.7706666666666667,33.0,0.04024390243902439,False
RTH,net60_atr,net 60m,467,569,-0.04132181201161051,-0.03872759389010793,-0.002594218121502581,-0.06635674245953263,0.061134891498251576,0.9333333333333333,37.0,0.0451219512195122,False
RTH,ret5_atr,return first 5m,467,569,0.01818267969381214,0.018858689007032543,-0.0006760093132204027,-0.019210920801457105,0.020386125843806772,0.9786666666666667,41.0,0.05000000000000001,False
