sessdef,family,rule,n_trig_weeks,n_trades,fill_rate,trades_per_year,long_share,win_rate,loss_rate,expectancy_R,MFE_R_median,MAE_R_median,hit_1R,hit_2R,hit_3R,meanR_trig,medR_trig,meanR_opp,trig_ci_lo,trig_ci_hi,p_trig_vs_zero,diff,diff_ci_lo,diff_ci_hi,p_diff,meanR_DEV_2016_2020,n_DEV,meanR_VAL_2021_2026,n_VAL,positive_years,n_years
RTH,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 0.5 ATR (1.00R)",358,328,0.9162011173184358,14.909090909090908,0.5457317073170732,0.2652439024390244,0.2804878048780488,-0.06318425045163704,0.5798490794480433,0.8355596313482614,0.28353658536585363,0.08231707317073171,0.027439024390243903,-0.06318425045163704,-0.0017833459590502858,-0.07122928293125619,-0.17292579046250903,0.04379640387779913,0.26,0.008045032479619144,-0.11259657975401972,0.13441177706883223,0.92,-0.1389523717418693,153,0.0030587355906802824,175,4,11
RTH,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 1.0 ATR (2.00R)",358,328,0.9162011173184358,14.909090909090908,0.5457317073170732,0.07926829268292683,0.2865853658536585,-0.019782337283229465,0.5798490794480433,0.8355596313482614,0.28353658536585363,0.08231707317073171,0.027439024390243903,-0.019782337283229465,-0.04821926800493802,-0.07238173497018906,-0.1378619775857274,0.10712007517146367,0.7766666666666666,0.05259939768695959,-0.09454680209530934,0.20052656214822845,0.465,-0.11594281654370395,153,0.06428939601307104,175,4,11
RTH,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 1.5 ATR (3.00R)",358,328,0.9162011173184358,14.909090909090908,0.5457317073170732,0.027439024390243903,0.2865853658536585,-0.004317296335912217,0.5798490794480433,0.8355596313482614,0.28353658536585363,0.08231707317073171,0.027439024390243903,-0.004317296335912217,-0.04821926800493802,-0.07709832509969247,-0.1376550935075526,0.1403444252688637,0.935,0.07278102876378026,-0.08643661516570278,0.24100006227814372,0.38166666666666665,-0.08600384296974323,153,0.06710008443538003,175,4,11
RTH,D4 OCO straddle at Monday open,"trigger ±0.5 ATR, stop = opposite level (risk 1.0 ATR), target 0.5 ATR (0.50R)",358,218,0.6089385474860335,9.909090909090908,0.536697247706422,0.25229357798165136,0.05963302752293578,-0.024405755083018642,0.2240386632906906,0.6431175643296361,0.06880733944954129,0.0,0.0,-0.024405755083018642,-0.02055455203815388,-0.054241394705654776,-0.09497962157251938,0.042277501276587796,0.5266666666666666,0.029835639622636134,-0.05616800066212943,0.11343017860698107,0.4483333333333333,-0.09646306397256402,101,0.03779756284727264,117,4,11
RTH,D4 OCO straddle at Monday open,"trigger ±0.5 ATR, stop = opposite level (risk 1.0 ATR), target 1.0 ATR (1.00R)",358,218,0.6089385474860335,9.909090909090908,0.536697247706422,0.06880733944954129,0.05963302752293578,-0.0027787282147829803,0.2240386632906906,0.6431175643296361,0.06880733944954129,0.0,0.0,-0.0027787282147829803,-0.03474808191368123,-0.06263984179860814,-0.08549775456753266,0.07434005057516169,0.97,0.05986111358382516,-0.03882588523435066,0.15954079531815085,0.24166666666666667,-0.06362773277556052,101,0.04974904495306769,117,6,11
RTH,D4 OCO straddle at Monday open,"trigger ±0.5 ATR, stop = opposite level (risk 1.0 ATR), target 1.5 ATR (1.50R)",358,218,0.6089385474860335,9.909090909090908,0.536697247706422,0.027522935779816515,0.05963302752293578,-0.003039666688821543,0.2240386632906906,0.6431175643296361,0.06880733944954129,0.0,0.0,-0.003039666688821543,-0.03847015622109405,-0.07448092911447747,-0.09061845484821954,0.08450352368058335,0.9216666666666666,0.07144126242565593,-0.03197933390362045,0.17422428620698943,0.17333333333333334,-0.060591487720801036,101,0.046641819843058166,117,7,11
BROKER,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 0.5 ATR (1.00R)",404,391,0.9678217821782178,17.772727272727273,0.5601023017902813,0.329923273657289,0.3452685421994885,-0.08402442326288113,0.6871564142827716,0.8848986848290571,0.3631713554987212,0.10741687979539642,0.04603580562659847,-0.08402442326288113,-0.12670602861557992,-0.03886214542174647,-0.18487980371005147,0.022784908041211877,0.12,-0.04516227784113466,-0.17103446650155063,0.06962725580370777,0.465,-0.14369993344018914,171,-0.037640276715973545,220,3,11
BROKER,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 1.0 ATR (2.00R)",404,391,0.9678217821782178,17.772727272727273,0.5601023017902813,0.09718670076726342,0.3657289002557545,-0.05996773671010499,0.6871564142827716,0.8848986848290571,0.3631713554987212,0.10741687979539642,0.04603580562659847,-0.05996773671010499,-0.24627622542910393,-0.049788888428201485,-0.18323494216707942,0.06356198404353441,0.3566666666666667,-0.010178848281903505,-0.1634725138001293,0.1367759321980977,0.91,-0.10158156457446907,171,-0.027622443233712907,220,3,11
BROKER,D4 OCO straddle at Monday open,"trigger ±0.25 ATR, stop = opposite level (risk 0.5 ATR), target 1.5 ATR (3.00R)",404,391,0.9678217821782178,17.772727272727273,0.5601023017902813,0.04092071611253197,0.3657289002557545,-0.047346875564541785,0.6871564142827716,0.8848986848290571,0.3631713554987212,0.10741687979539642,0.04603580562659847,-0.047346875564541785,-0.25102103504345297,-0.05668671593893125,-0.1692343510286492,0.08473151237842924,0.5083333333333333,0.009339840374389466,-0.14810454357087785,0.16140561687264954,0.9316666666666666,-0.09052349704106787,171,-0.013786865235060137,220,4,11
BROKER,D4 OCO straddle at Monday open,"trigger ±0.5 ATR, stop = opposite level (risk 1.0 ATR), target 0.5 ATR (0.50R)",404,294,0.7277227722772277,13.363636363636363,0.5476190476190477,0.30612244897959184,0.06462585034013606,-0.016989449508302595,0.3034717908079146,0.6673500561202184,0.12585034013605442,0.023809523809523808,0.0,-0.016989449508302595,0.03949969062981939,-0.016277364810283978,-0.08052438032924424,0.045274626595515836,0.5466666666666666,-0.0007120846980186168,-0.07888032303079091,0.0742254583032128,0.955,-0.04391976092476186,137,0.006510248988862498,157,5,11
