sessdef,family,rule,fill_rate,win,loss,meanR_gross_trig,n_trig,n_opp,meanR_trig,meanR_opp,medR_trig,trig_ci_lo,trig_ci_hi,p_trig_vs_zero,diff,diff_ci_lo,diff_ci_hi,p_diff
RTH,D1 short at Monday open,stop 0.5 ATR / target 0.5 ATR (1.0R),1.0,0.28212290502793297,0.3268156424581006,-0.08971859736216842,358,512,-0.15977898245181507,-0.20371403748794964,-0.25344478118584557,-0.2715109913443322,-0.05038705057276336,0.0,0.04393505503613457,-0.09199285412570321,0.1731988967917616,0.4866666666666667
RTH,D1 short at Monday open,stop 0.5 ATR / target 1.0 ATR (2.0R),1.0,0.10893854748603352,0.3435754189944134,-0.05207277908226617,358,512,-0.12213316417191289,-0.22953396438210255,-0.3614509836787169,-0.25767915079532766,0.03582638213487528,0.10166666666666667,0.10740080021018966,-0.03710773526246323,0.2742240867038383,0.135
RTH,D1 short at Monday open,stop 0.5 ATR / target 1.5 ATR (3.0R),1.0,0.0335195530726257,0.3435754189944134,-0.03613771558811217,358,512,-0.10619810067775887,-0.23357751797721799,-0.36740118754491613,-0.2513915611242642,0.03421385603402116,0.14833333333333334,0.12737941729945912,-0.042548277321572854,0.28571709667637724,0.14166666666666666
RTH,D1 short at Monday open,stop 0.5 ATR / target 2.0 ATR (4.0R),1.0,0.01675977653631285,0.3435754189944134,-0.039287660043354454,358,512,-0.10934804513300114,-0.24458602884119027,-0.36740118754491613,-0.24562347563019415,0.039658926448714535,0.15666666666666668,0.13523798370818912,-0.018429663210766896,0.3064291385659183,0.1
RTH,D1 short at Monday open,stop 0.75 ATR / target 0.5 ATR (0.7R),1.0,0.3016759776536313,0.11731843575418995,-0.03959363726586868,358,512,-0.08630056065896648,-0.14185104506923624,-0.11860578811107794,-0.1674645167952792,-0.0005338590188381491,0.05,0.05555048441026976,-0.03815773195267779,0.15401461985293102,0.24166666666666667
RTH,D1 short at Monday open,stop 0.75 ATR / target 1.0 ATR (1.3R),1.0,0.11452513966480447,0.12849162011173185,-0.015715901703637424,358,512,-0.06242282509673521,-0.16058899106916616,-0.1567512052877792,-0.1554671447540905,0.029450917876842547,0.195,0.09816616597243094,-0.005401878178248001,0.20557033328765997,0.06833333333333333
RTH,D1 short at Monday open,stop 0.75 ATR / target 1.5 ATR (2.0R),1.0,0.0335195530726257,0.12849162011173185,-0.010895026854605616,358,512,-0.057601950247703405,-0.1604343728673278,-0.15902239036562937,-0.16280262924391573,0.04130841505050359,0.22833333333333333,0.10283242261962441,-0.013510775593742187,0.21379173341370528,0.09166666666666666
RTH,D1 short at Monday open,stop 0.75 ATR / target 2.0 ATR (2.7R),1.0,0.01675977653631285,0.12849162011173185,-0.012994989824767144,358,512,-0.05970191321786493,-0.16726524586467814,-0.15902239036562937,-0.15922991935798045,0.05458391202661174,0.25,0.10756333264681321,-0.009267229557247661,0.24051549946517897,0.08
RTH,D1 short at Monday open,stop 1.0 ATR / target 0.5 ATR (0.5R),1.0,0.3016759776536313,0.0446927374301676,-0.03413115512004452,358,512,-0.06916134766486785,-0.1096327019370431,-0.08138131546476665,-0.12942039992390122,-0.0067700764819342545,0.025,0.04047135427217524,-0.033034128676140244,0.114360673734782,0.26666666666666666
RTH,D1 short at Monday open,stop 1.0 ATR / target 1.0 ATR (1.0R),1.0,0.11452513966480447,0.05307262569832402,-0.01858082567522864,358,512,-0.053611018220051966,-0.12269226866159369,-0.11283694720316768,-0.12460478875214513,0.02024280964810903,0.13666666666666666,0.06908125044154173,-0.01820371175899579,0.1538394512510211,0.11333333333333333
