test,subset,n_trig,trig,opp,diff,ci_lo,ci_hi,p
travelled_to_low,all,467,0.23126338329764454,0.19332161687170474,0.0379417664259398,-0.02231895155675734,0.09867823159829736,0.23066666666666666
travelled_to_low,NAS100,240,0.24583333333333332,0.1916376306620209,0.05419570267131241,-0.012938652211190891,0.127674811539179,0.12266666666666666
travelled_to_low,US500,227,0.21585903083700442,0.1950354609929078,0.020823569844096612,-0.051244786615928926,0.09251429687645549,0.5653333333333334
travelled_to_low,2016-2020,215,0.21395348837209302,0.23166023166023167,-0.01770674328813865,-0.10523182610072855,0.07406884355779166,0.6853333333333333
travelled_to_low,2021-2026,252,0.24603174603174602,0.16129032258064516,0.08474142345110086,0.005250344957207567,0.1681298186620547,0.04133333333333333
travelled_to_low,opens INSIDE Fri range,247,0.38461538461538464,0.2893258426966292,0.09528954191875544,0.001466996515029497,0.18457421772207985,0.04933333333333333
travelled_to_low,opens in lower half of Fri range,114,0.6052631578947368,0.6,0.0052631578947368585,-0.13033130306611207,0.14848548637943176,0.892
travelled_to_low,high-range Fridays (top half B_range/ATR),251,0.2350597609561753,0.1647940074906367,0.07026575346553862,-0.012636301642594784,0.15578665396443672,0.08666666666666667
tradeable-state touch_Blow,all tradeable,358,0.3016759776536313,0.21484375,0.0868322276536313,0.017002114991867805,0.15970498901937571,0.010666666666666666
tradeable-state mfe_down_atr,all tradeable,358,0.43694811014232243,0.3203773380502123,0.11657077209211014,0.05026812003018526,0.1869880080012044,0.0
tradeable-state touch_Blow,NAS100,186,0.3172043010752688,0.2140077821011673,0.10319651897410151,0.01805624830869684,0.18577274765293972,0.017333333333333333
tradeable-state mfe_down_atr,NAS100,186,0.4427429406086162,0.3143393536982645,0.1284035869103517,0.05196435602823779,0.2087482525852214,0.0013333333333333333
tradeable-state touch_Blow,US500,172,0.28488372093023256,0.21568627450980393,0.06919744642042863,-0.015797746612039087,0.15305164444030922,0.10533333333333333
tradeable-state mfe_down_atr,US500,172,0.4306816074287721,0.32646267914217547,0.10421892828659662,0.02972941366765297,0.17585816295941809,0.006666666666666667
tradeable-state touch_Blow,2016-2020,162,0.2839506172839506,0.25316455696202533,0.030786060321925268,-0.07863597368431836,0.13541000625829802,0.588
tradeable-state mfe_down_atr,2016-2020,162,0.4111423143600327,0.3448707232545186,0.06627159110551406,-0.03371437650177437,0.1741701480039973,0.21466666666666667
tradeable-state touch_Blow,2021-2026,196,0.3163265306122449,0.18181818181818182,0.1345083487940631,0.03750767752438458,0.23091703369823563,0.008
tradeable-state mfe_down_atr,2021-2026,196,0.4582773903297251,0.29926849334686473,0.15900889698286036,0.07279732203375472,0.2507434973258786,0.0013333333333333333
headline touch effect,leave-one-year-out (worst),467,,,0.13676152174958503,,,
