year,n_trig,trig,opp,diff
2016,47,0.3829787234042553,0.32608695652173914,0.05689176688251618
2017,35,0.37142857142857144,0.19607843137254902,0.17535014005602242
2018,45,0.5555555555555556,0.3148148148148148,0.24074074074074076
2019,37,0.5675675675675675,0.3709677419354839,0.19659982563208367
2020,51,0.43137254901960786,0.3695652173913043,0.06180733162830354
2021,39,0.46153846153846156,0.3148148148148148,0.14672364672364674
2022,51,0.6470588235294118,0.20408163265306123,0.44297719087635057
2023,37,0.3783783783783784,0.21052631578947367,0.16785206258890473
2024,48,0.3333333333333333,0.2641509433962264,0.0691823899371069
2025,45,0.4444444444444444,0.2807017543859649,0.16374269005847952
2026,32,0.53125,0.4,0.13124999999999998
