sessdef,asset_group,triggered,construction,entry,target,stop,notes,n,win_rate,loss_rate,unresolved_rate,mean_R,median_R,sum_R,sd_R,R_per_trade_lo95,R_per_trade_hi95,mean_R_trim5,max_R,risk_atr_p05
BROKER,COMMOD,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.75,800,0.45375,0.40375,0.1425,0.0138253280809939,0.0118693527810319,11.060262464795128,1.6156321905129338,-0.0981322707448733,0.1257829269068611,-0.23761148178779254,22.23999999999484,0.05701214592869845
BROKER,COMMOD,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.79,807,0.3110285006195787,0.5266418835192069,0.1623296158612143,0.6485157183408978,-1.0,523.3521847011045,12.54704889560608,-0.2171712789718504,1.5142027156536462,-0.3656285995977473,311.25000000017184,0.023748189405466143
BROKER,CRYPTO,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.92,275,0.4218181818181818,0.4254545454545455,0.1527272727272726,0.5598037613068857,-0.2505845999665937,153.94603435939356,5.850656622163892,-0.1316996618591954,1.2513071844729668,-0.11975492447810081,89.9560439560404,0.06348778159921449
BROKER,CRYPTO,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.75,207,0.3188405797101449,0.5555555555555556,0.1256038647342995,0.3390278257741282,-1.0,70.17875993524454,3.8204373998396495,-0.1814281345938137,0.8594837861420701,-0.2481545749650782,41.03877005347839,0.051414712404013706
BROKER,FX,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.55,1761,0.4537194775695627,0.3668370244179443,0.1794434980124928,0.0064906454010814,0.0,11.430026551304472,2.2816917465715325,-0.1000789617483848,0.1130602525505477,-0.2762880747494265,53.00000000000555,0.09170530654301344
BROKER,FX,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.41,1566,0.318007662835249,0.4731800766283525,0.2088122605363984,0.1876546088428831,-0.4597651830561431,293.867117447955,4.034019484721096,-0.0121466333933644,0.3874558510791307,-0.30239373543608555,109.083333333329,0.06379026785241929
BROKER,US_INDEX,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.75,474,0.4388185654008439,0.4472573839662447,0.1139240506329114,0.0194665589017267,-0.1802869379343472,9.227148919418491,2.166328612587536,-0.1755588676190719,0.2144919854225255,-0.32457045285173647,31.068880940215077,0.049382065521574085
BROKER,US_INDEX,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 3.11,597,0.2613065326633166,0.5829145728643216,0.1557788944723618,3.558101318976202,-1.0,2124.1864874287926,59.875830376931376,-1.2449857025978166,8.361188340550221,-0.4797788852060218,1321.3131313109989,0.014536573497124821
RTH,COMMOD,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.88,766,0.4281984334203655,0.4360313315926893,0.1357702349869452,0.3274166350892568,-0.1918013850314167,250.8011424783707,3.354129110726008,0.0898849977230599,0.5649482724554536,-0.16922405987467135,58.000000000031974,0.051844945336774584
RTH,COMMOD,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.54,821,0.3702801461632156,0.4738124238733252,0.1559074299634592,0.9139740147253038,-0.4833299519848614,750.3726660894745,6.371762133706939,0.4781169924866854,1.349831036963922,-0.0017237346999457294,120.09900990112745,0.025710481612418453
RTH,CRYPTO,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.97,261,0.3793103448275862,0.5134099616858238,0.10727969348659,0.6400347572209869,-1.0,167.04907163467757,6.711684438928317,-0.1742332037069873,1.4543027181489612,-0.16021453771871708,101.7708333333102,0.04415995397007899
RTH,CRYPTO,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.41,216,0.4305555555555556,0.5,0.0694444444444444,1.7617388302828811,-0.8510314507947236,380.5355873411023,11.941853278942116,0.1691600428240716,3.3543176177416907,0.08872320799961768,161.34999999999945,0.029542084825817144
RTH,FX,True,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 0.85,1683,0.4177064765300059,0.4563279857397504,0.1259655377302436,0.5518941515174011,-0.3033707865168511,928.837857003786,5.298316970923393,0.2987592959694914,0.8050290070653107,-0.16800556348046117,122.00000000055512,0.040216867664004737
RTH,FX,False,E1 short Friday close,Friday close,Friday low,Friday high,median R available = 1.30,1620,0.4018518518518518,0.4493827160493827,0.1487654320987653,2.598418139259332,-0.2636116600790833,4209.437385600118,20.77804317513297,1.5865982583828335,3.610238020135831,0.1350820063633093,439.99999999711343,0.025709670737242306
