dataset,tol_ATR,n_trigger,rate,opposite,uplift
Duka NAS100+US500 RTH,0.0,467,0.46466809421841543,0.29349736379613356,0.17117073042228187
Duka NAS100+US500 RTH,0.05,467,0.4860813704496788,0.3163444639718805,0.16973690647779832
Duka NAS100+US500 RTH,0.1,467,0.5032119914346895,0.34973637961335674,0.1534756118213328
Duka NAS100+US500 RTH,0.25,467,0.6059957173447538,0.45518453427065025,0.15081118307410352
Duka NAS100+US500 RTH,0.5,467,0.7259100642398287,0.664323374340949,0.06158668989887972
Duka NAS100+US500 RTH,0.75,467,0.8329764453961456,0.7785588752196837,0.05441757017646187
Duka NAS100+US500 RTH,1.0,467,0.9122055674518201,0.8787346221441125,0.03347094530770767
Duka NAS100+US500 BROKER,0.0,475,0.4968421052631579,0.2911813643926789,0.20566074087047903
Duka NAS100+US500 BROKER,0.05,475,0.5178947368421053,0.31281198003327787,0.20508275680882743
Duka NAS100+US500 BROKER,0.1,475,0.5452631578947369,0.3594009983361065,0.1858621595586304
Duka NAS100+US500 BROKER,0.25,475,0.68,0.480865224625624,0.19913477537437607
Duka NAS100+US500 BROKER,0.5,475,0.8210526315789474,0.64891846921797,0.17213416236097734
Duka NAS100+US500 BROKER,0.75,475,0.911578947368421,0.78369384359401,0.1278851037744111
Duka NAS100+US500 BROKER,1.0,475,0.9726315789473684,0.8868552412645591,0.08577633768280934
YF ES+NQ daily 2000-2026,0.0,1096,0.5501824817518248,0.3582089552238806,0.19197352652794425
YF ES+NQ daily 2000-2026,0.05,1096,0.5821167883211679,0.394344069128044,0.18777271919312388
YF ES+NQ daily 2000-2026,0.1,1096,0.6167883211678832,0.42812254516889237,0.18866577599899081
YF ES+NQ daily 2000-2026,0.25,1096,0.718065693430657,0.5538098978790259,0.16425579555163106
YF ES+NQ daily 2000-2026,0.5,1096,0.8421532846715328,0.7054202670856246,0.13673301758590828
YF ES+NQ daily 2000-2026,0.75,1096,0.9206204379562044,0.8350353495679497,0.08558508838825474
YF ES+NQ daily 2000-2026,1.0,1096,0.9625912408759124,0.9190887666928516,0.04350247418306086
